Proverbs 3:5-6`Trust in the Lord with all thine heart; and lean not unto thine own understanding.~In all thy ways acknowledge him, and he shall direct thy paths.
2 Nephi 2:24`But behold, all things have been done in the wisdom of Him who knoweth all things.
Ether 1:13`And Com was the son of Coriantum.
Ether 1:27`And Com was the son of Coriantum.
Helaman 5:12`And now my sons, remember, remember that it is upon the rock of our Redeemer, who is Christ, the Son of God, that ye must build your foundation; that when the devil shall send forth his mighty winds, yea, his shafts in the whirlwind, yea, when all his hail and his mighty storm shall beat upon you, it shall have no power over you to drag you down into the gulf of misery and endless wo, because of the rock upon which ye are built, which is a sure foundation, a foundation whereon if men build they cannot fall.
1 Corinthians 13:1-3`Though I speak with the tongues of men and of angels, and have not charity, I am become as sounding brass, or a tinkling cymbal.~And though I have the gift of prophecy, and understand all mysteries, and all knowledge; and have not charity, I am nothing.~And though I bestow all my goods to feed the poor, and though I give my body to be burned, and have not charity, it profiteth me nothing.
Job 10:10`Hast thou not poured me out as milk, and curdled me like cheese?
Proverbs 21:9`It is better to dwell in a corner of the housetop, than with a brawling worman in a wide house.
Proverbs 21:19`It is better to dwell in the wilderness, than with a contentious and an angry woman.
Proverbs 27:15`A continual dropping in a very rainy day and a contentious woman are alike.
Galatians 4:16`Am I therefore become your enemy, because I tell you the truth?